// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 2 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:04 (4.6 sec)   *****
// Found 3 benchmarks:
//   PartitionedShutdownBenchmarks.DrainFullQueue: A_Published(OutlierMode=DontRemove, Affinity=00000000000000000100, EnvironmentVariables=DOTNET_TieredCompilation=0, Arguments=/p:ProductDirectory=C:/git/Dekaf-perf-improvements-20260907/pr-3109/published,/p:UseSharedCompilation=false, InvocationCount=1, IterationCount=300, LaunchCount=2, UnrollFactor=1, WarmupCount=30)
//   PartitionedShutdownBenchmarks.DrainFullQueue: B_Candidate(OutlierMode=DontRemove, Affinity=00000000000000000100, EnvironmentVariables=DOTNET_TieredCompilation=0, Arguments=/p:ProductDirectory=C:/git/Dekaf-perf-improvements-20260907/pr-3109/candidate,/p:UseSharedCompilation=false, InvocationCount=1, IterationCount=300, LaunchCount=2, UnrollFactor=1, WarmupCount=30)
//   PartitionedShutdownBenchmarks.DrainFullQueue: C_PublishedControl(OutlierMode=DontRemove, Affinity=00000000000000000100, EnvironmentVariables=DOTNET_TieredCompilation=0, Arguments=/p:ProductDirectory=C:/git/Dekaf-perf-improvements-20260907/pr-3109/published,/p:UseSharedCompilation=false, InvocationCount=1, IterationCount=300, LaunchCount=2, UnrollFactor=1, WarmupCount=30)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
WorkloadActual  270: 1 op, 96100.00 ns, 96.1000 us/op
WorkloadActual  271: 1 op, 96800.00 ns, 96.8000 us/op
WorkloadActual  272: 1 op, 97400.00 ns, 97.4000 us/op
WorkloadActual  273: 1 op, 96400.00 ns, 96.4000 us/op
WorkloadActual  274: 1 op, 99500.00 ns, 99.5000 us/op
WorkloadActual  275: 1 op, 96900.00 ns, 96.9000 us/op
WorkloadActual  276: 1 op, 97000.00 ns, 97.0000 us/op
WorkloadActual  277: 1 op, 97600.00 ns, 97.6000 us/op
WorkloadActual  278: 1 op, 96400.00 ns, 96.4000 us/op
WorkloadActual  279: 1 op, 96200.00 ns, 96.2000 us/op
WorkloadActual  280: 1 op, 97500.00 ns, 97.5000 us/op
WorkloadActual  281: 1 op, 96300.00 ns, 96.3000 us/op
WorkloadActual  282: 1 op, 96500.00 ns, 96.5000 us/op
WorkloadActual  283: 1 op, 98300.00 ns, 98.3000 us/op
WorkloadActual  284: 1 op, 107900.00 ns, 107.9000 us/op
WorkloadActual  285: 1 op, 99500.00 ns, 99.5000 us/op
WorkloadActual  286: 1 op, 101000.00 ns, 101.0000 us/op
WorkloadActual  287: 1 op, 99600.00 ns, 99.6000 us/op
WorkloadActual  288: 1 op, 98600.00 ns, 98.6000 us/op
WorkloadActual  289: 1 op, 99600.00 ns, 99.6000 us/op
WorkloadActual  290: 1 op, 98600.00 ns, 98.6000 us/op
WorkloadActual  291: 1 op, 102900.00 ns, 102.9000 us/op
WorkloadActual  292: 1 op, 167700.00 ns, 167.7000 us/op
WorkloadActual  293: 1 op, 97900.00 ns, 97.9000 us/op
WorkloadActual  294: 1 op, 98100.00 ns, 98.1000 us/op
WorkloadActual  295: 1 op, 99500.00 ns, 99.5000 us/op
WorkloadActual  296: 1 op, 98000.00 ns, 98.0000 us/op
WorkloadActual  297: 1 op, 97500.00 ns, 97.5000 us/op
WorkloadActual  298: 1 op, 96900.00 ns, 96.9000 us/op
WorkloadActual  299: 1 op, 96500.00 ns, 96.5000 us/op
WorkloadActual  300: 1 op, 97400.00 ns, 97.4000 us/op

// AfterActualRun
WorkloadResult   1: 1 op, 109150.00 ns, 109.1500 us/op
WorkloadResult   2: 1 op, 110550.00 ns, 110.5500 us/op
WorkloadResult   3: 1 op, 100750.00 ns, 100.7500 us/op
WorkloadResult   4: 1 op, 99550.00 ns, 99.5500 us/op
WorkloadResult   5: 1 op, 99350.00 ns, 99.3500 us/op
WorkloadResult   6: 1 op, 104350.00 ns, 104.3500 us/op
WorkloadResult   7: 1 op, 130950.00 ns, 130.9500 us/op
WorkloadResult   8: 1 op, 99650.00 ns, 99.6500 us/op
WorkloadResult   9: 1 op, 104550.00 ns, 104.5500 us/op
WorkloadResult  10: 1 op, 114850.00 ns, 114.8500 us/op
WorkloadResult  11: 1 op, 101250.00 ns, 101.2500 us/op
WorkloadResult  12: 1 op, 106750.00 ns, 106.7500 us/op
WorkloadResult  13: 1 op, 100650.00 ns, 100.6500 us/op
WorkloadResult  14: 1 op, 102050.00 ns, 102.0500 us/op
WorkloadResult  15: 1 op, 99850.00 ns, 99.8500 us/op
WorkloadResult  16: 1 op, 171250.00 ns, 171.2500 us/op
WorkloadResult  17: 1 op, 99150.00 ns, 99.1500 us/op
WorkloadResult  18: 1 op, 101750.00 ns, 101.7500 us/op
WorkloadResult  19: 1 op, 99550.00 ns, 99.5500 us/op
WorkloadResult  20: 1 op, 99650.00 ns, 99.6500 us/op
WorkloadResult  21: 1 op, 99450.00 ns, 99.4500 us/op
WorkloadResult  22: 1 op, 108650.00 ns, 108.6500 us/op
WorkloadResult  23: 1 op, 100250.00 ns, 100.2500 us/op
WorkloadResult  24: 1 op, 99150.00 ns, 99.1500 us/op
WorkloadResult  25: 1 op, 99750.00 ns, 99.7500 us/op
WorkloadResult  26: 1 op, 99050.00 ns, 99.0500 us/op
WorkloadResult  27: 1 op, 101550.00 ns, 101.5500 us/op
WorkloadResult  28: 1 op, 99050.00 ns, 99.0500 us/op
WorkloadResult  29: 1 op, 99250.00 ns, 99.2500 us/op
WorkloadResult  30: 1 op, 100150.00 ns, 100.1500 us/op
WorkloadResult  31: 1 op, 107550.00 ns, 107.5500 us/op
WorkloadResult  32: 1 op, 99550.00 ns, 99.5500 us/op
WorkloadResult  33: 1 op, 102350.00 ns, 102.3500 us/op
WorkloadResult  34: 1 op, 101250.00 ns, 101.2500 us/op
WorkloadResult  35: 1 op, 100850.00 ns, 100.8500 us/op
WorkloadResult  36: 1 op, 100550.00 ns, 100.5500 us/op
WorkloadResult  37: 1 op, 101250.00 ns, 101.2500 us/op
WorkloadResult  38: 1 op, 101850.00 ns, 101.8500 us/op
WorkloadResult  39: 1 op, 102050.00 ns, 102.0500 us/op
WorkloadResult  40: 1 op, 102750.00 ns, 102.7500 us/op
WorkloadResult  41: 1 op, 106450.00 ns, 106.4500 us/op
WorkloadResult  42: 1 op, 99350.00 ns, 99.3500 us/op
WorkloadResult  43: 1 op, 100950.00 ns, 100.9500 us/op
WorkloadResult  44: 1 op, 103350.00 ns, 103.3500 us/op
WorkloadResult  45: 1 op, 107650.00 ns, 107.6500 us/op
WorkloadResult  46: 1 op, 104950.00 ns, 104.9500 us/op
WorkloadResult  47: 1 op, 102550.00 ns, 102.5500 us/op
WorkloadResult  48: 1 op, 99650.00 ns, 99.6500 us/op
WorkloadResult  49: 1 op, 99850.00 ns, 99.8500 us/op
WorkloadResult  50: 1 op, 98650.00 ns, 98.6500 us/op
WorkloadResult  51: 1 op, 106350.00 ns, 106.3500 us/op
WorkloadResult  52: 1 op, 98350.00 ns, 98.3500 us/op
WorkloadResult  53: 1 op, 98650.00 ns, 98.6500 us/op
WorkloadResult  54: 1 op, 98950.00 ns, 98.9500 us/op
WorkloadResult  55: 1 op, 97750.00 ns, 97.7500 us/op
WorkloadResult  56: 1 op, 98750.00 ns, 98.7500 us/op
WorkloadResult  57: 1 op, 98950.00 ns, 98.9500 us/op
WorkloadResult  58: 1 op, 99250.00 ns, 99.2500 us/op
WorkloadResult  59: 1 op, 98050.00 ns, 98.0500 us/op
WorkloadResult  60: 1 op, 101450.00 ns, 101.4500 us/op
WorkloadResult  61: 1 op, 100450.00 ns, 100.4500 us/op
WorkloadResult  62: 1 op, 99050.00 ns, 99.0500 us/op
WorkloadResult  63: 1 op, 98150.00 ns, 98.1500 us/op
WorkloadResult  64: 1 op, 98550.00 ns, 98.5500 us/op
WorkloadResult  65: 1 op, 98150.00 ns, 98.1500 us/op
WorkloadResult  66: 1 op, 99450.00 ns, 99.4500 us/op
WorkloadResult  67: 1 op, 98650.00 ns, 98.6500 us/op
WorkloadResult  68: 1 op, 98850.00 ns, 98.8500 us/op
WorkloadResult  69: 1 op, 100650.00 ns, 100.6500 us/op
WorkloadResult  70: 1 op, 99850.00 ns, 99.8500 us/op
WorkloadResult  71: 1 op, 99150.00 ns, 99.1500 us/op
WorkloadResult  72: 1 op, 99450.00 ns, 99.4500 us/op
WorkloadResult  73: 1 op, 100950.00 ns, 100.9500 us/op
WorkloadResult  74: 1 op, 98450.00 ns, 98.4500 us/op
WorkloadResult  75: 1 op, 191150.00 ns, 191.1500 us/op
WorkloadResult  76: 1 op, 101150.00 ns, 101.1500 us/op
WorkloadResult  77: 1 op, 101350.00 ns, 101.3500 us/op
WorkloadResult  78: 1 op, 104450.00 ns, 104.4500 us/op
WorkloadResult  79: 1 op, 98650.00 ns, 98.6500 us/op
WorkloadResult  80: 1 op, 99950.00 ns, 99.9500 us/op
WorkloadResult  81: 1 op, 106850.00 ns, 106.8500 us/op
WorkloadResult  82: 1 op, 102050.00 ns, 102.0500 us/op
WorkloadResult  83: 1 op, 98450.00 ns, 98.4500 us/op
WorkloadResult  84: 1 op, 98650.00 ns, 98.6500 us/op
WorkloadResult  85: 1 op, 98850.00 ns, 98.8500 us/op
WorkloadResult  86: 1 op, 97850.00 ns, 97.8500 us/op
WorkloadResult  87: 1 op, 101050.00 ns, 101.0500 us/op
WorkloadResult  88: 1 op, 98350.00 ns, 98.3500 us/op
WorkloadResult  89: 1 op, 98250.00 ns, 98.2500 us/op
WorkloadResult  90: 1 op, 105250.00 ns, 105.2500 us/op
WorkloadResult  91: 1 op, 157250.00 ns, 157.2500 us/op
WorkloadResult  92: 1 op, 99450.00 ns, 99.4500 us/op
WorkloadResult  93: 1 op, 162550.00 ns, 162.5500 us/op
WorkloadResult  94: 1 op, 102450.00 ns, 102.4500 us/op
WorkloadResult  95: 1 op, 98650.00 ns, 98.6500 us/op
WorkloadResult  96: 1 op, 99750.00 ns, 99.7500 us/op
WorkloadResult  97: 1 op, 98850.00 ns, 98.8500 us/op
WorkloadResult  98: 1 op, 99150.00 ns, 99.1500 us/op
WorkloadResult  99: 1 op, 100350.00 ns, 100.3500 us/op
WorkloadResult  100: 1 op, 99050.00 ns, 99.0500 us/op
WorkloadResult  101: 1 op, 98750.00 ns, 98.7500 us/op
WorkloadResult  102: 1 op, 99950.00 ns, 99.9500 us/op
WorkloadResult  103: 1 op, 101550.00 ns, 101.5500 us/op
WorkloadResult  104: 1 op, 98350.00 ns, 98.3500 us/op
WorkloadResult  105: 1 op, 98550.00 ns, 98.5500 us/op
WorkloadResult  106: 1 op, 100050.00 ns, 100.0500 us/op
WorkloadResult  107: 1 op, 107050.00 ns, 107.0500 us/op
WorkloadResult  108: 1 op, 102650.00 ns, 102.6500 us/op
WorkloadResult  109: 1 op, 98850.00 ns, 98.8500 us/op
WorkloadResult  110: 1 op, 98450.00 ns, 98.4500 us/op
WorkloadResult  111: 1 op, 104350.00 ns, 104.3500 us/op
WorkloadResult  112: 1 op, 158550.00 ns, 158.5500 us/op
WorkloadResult  113: 1 op, 101650.00 ns, 101.6500 us/op
WorkloadResult  114: 1 op, 99850.00 ns, 99.8500 us/op
WorkloadResult  115: 1 op, 102350.00 ns, 102.3500 us/op
WorkloadResult  116: 1 op, 98850.00 ns, 98.8500 us/op
WorkloadResult  117: 1 op, 99950.00 ns, 99.9500 us/op
WorkloadResult  118: 1 op, 98850.00 ns, 98.8500 us/op
WorkloadResult  119: 1 op, 107950.00 ns, 107.9500 us/op
WorkloadResult  120: 1 op, 99750.00 ns, 99.7500 us/op
WorkloadResult  121: 1 op, 99850.00 ns, 99.8500 us/op
WorkloadResult  122: 1 op, 98450.00 ns, 98.4500 us/op
WorkloadResult  123: 1 op, 98650.00 ns, 98.6500 us/op
WorkloadResult  124: 1 op, 101350.00 ns, 101.3500 us/op
WorkloadResult  125: 1 op, 100150.00 ns, 100.1500 us/op
WorkloadResult  126: 1 op, 98950.00 ns, 98.9500 us/op
WorkloadResult  127: 1 op, 101850.00 ns, 101.8500 us/op
WorkloadResult  128: 1 op, 106850.00 ns, 106.8500 us/op
WorkloadResult  129: 1 op, 100950.00 ns, 100.9500 us/op
WorkloadResult  130: 1 op, 98750.00 ns, 98.7500 us/op
WorkloadResult  131: 1 op, 99950.00 ns, 99.9500 us/op
WorkloadResult  132: 1 op, 99050.00 ns, 99.0500 us/op
WorkloadResult  133: 1 op, 99550.00 ns, 99.5500 us/op
WorkloadResult  134: 1 op, 98650.00 ns, 98.6500 us/op
WorkloadResult  135: 1 op, 99650.00 ns, 99.6500 us/op
WorkloadResult  136: 1 op, 99150.00 ns, 99.1500 us/op
WorkloadResult  137: 1 op, 102950.00 ns, 102.9500 us/op
WorkloadResult  138: 1 op, 99150.00 ns, 99.1500 us/op
WorkloadResult  139: 1 op, 99850.00 ns, 99.8500 us/op
WorkloadResult  140: 1 op, 99550.00 ns, 99.5500 us/op
WorkloadResult  141: 1 op, 99850.00 ns, 99.8500 us/op
WorkloadResult  142: 1 op, 100150.00 ns, 100.1500 us/op
WorkloadResult  143: 1 op, 100750.00 ns, 100.7500 us/op
WorkloadResult  144: 1 op, 98150.00 ns, 98.1500 us/op
WorkloadResult  145: 1 op, 98550.00 ns, 98.5500 us/op
WorkloadResult  146: 1 op, 97950.00 ns, 97.9500 us/op
WorkloadResult  147: 1 op, 100050.00 ns, 100.0500 us/op
WorkloadResult  148: 1 op, 97950.00 ns, 97.9500 us/op
WorkloadResult  149: 1 op, 98550.00 ns, 98.5500 us/op
WorkloadResult  150: 1 op, 99050.00 ns, 99.0500 us/op
WorkloadResult  151: 1 op, 98250.00 ns, 98.2500 us/op
WorkloadResult  152: 1 op, 97350.00 ns, 97.3500 us/op
WorkloadResult  153: 1 op, 98050.00 ns, 98.0500 us/op
WorkloadResult  154: 1 op, 96450.00 ns, 96.4500 us/op
WorkloadResult  155: 1 op, 98650.00 ns, 98.6500 us/op
WorkloadResult  156: 1 op, 97650.00 ns, 97.6500 us/op
WorkloadResult  157: 1 op, 97650.00 ns, 97.6500 us/op
WorkloadResult  158: 1 op, 96750.00 ns, 96.7500 us/op
WorkloadResult  159: 1 op, 99750.00 ns, 99.7500 us/op
WorkloadResult  160: 1 op, 96550.00 ns, 96.5500 us/op
WorkloadResult  161: 1 op, 98350.00 ns, 98.3500 us/op
WorkloadResult  162: 1 op, 96550.00 ns, 96.5500 us/op
WorkloadResult  163: 1 op, 159150.00 ns, 159.1500 us/op
WorkloadResult  164: 1 op, 98250.00 ns, 98.2500 us/op
WorkloadResult  165: 1 op, 103150.00 ns, 103.1500 us/op
WorkloadResult  166: 1 op, 97150.00 ns, 97.1500 us/op
WorkloadResult  167: 1 op, 97150.00 ns, 97.1500 us/op
WorkloadResult  168: 1 op, 96350.00 ns, 96.3500 us/op
WorkloadResult  169: 1 op, 95850.00 ns, 95.8500 us/op
WorkloadResult  170: 1 op, 97050.00 ns, 97.0500 us/op
WorkloadResult  171: 1 op, 96050.00 ns, 96.0500 us/op
WorkloadResult  172: 1 op, 136250.00 ns, 136.2500 us/op
WorkloadResult  173: 1 op, 98350.00 ns, 98.3500 us/op
WorkloadResult  174: 1 op, 99750.00 ns, 99.7500 us/op
WorkloadResult  175: 1 op, 98150.00 ns, 98.1500 us/op
WorkloadResult  176: 1 op, 106450.00 ns, 106.4500 us/op
WorkloadResult  177: 1 op, 98750.00 ns, 98.7500 us/op
WorkloadResult  178: 1 op, 98050.00 ns, 98.0500 us/op
WorkloadResult  179: 1 op, 99950.00 ns, 99.9500 us/op
WorkloadResult  180: 1 op, 96450.00 ns, 96.4500 us/op
WorkloadResult  181: 1 op, 105150.00 ns, 105.1500 us/op
WorkloadResult  182: 1 op, 97550.00 ns, 97.5500 us/op
WorkloadResult  183: 1 op, 103050.00 ns, 103.0500 us/op
WorkloadResult  184: 1 op, 101950.00 ns, 101.9500 us/op
WorkloadResult  185: 1 op, 97750.00 ns, 97.7500 us/op
WorkloadResult  186: 1 op, 98650.00 ns, 98.6500 us/op
WorkloadResult  187: 1 op, 102050.00 ns, 102.0500 us/op
WorkloadResult  188: 1 op, 98050.00 ns, 98.0500 us/op
WorkloadResult  189: 1 op, 96650.00 ns, 96.6500 us/op
WorkloadResult  190: 1 op, 96950.00 ns, 96.9500 us/op
WorkloadResult  191: 1 op, 96750.00 ns, 96.7500 us/op
WorkloadResult  192: 1 op, 97050.00 ns, 97.0500 us/op
WorkloadResult  193: 1 op, 98050.00 ns, 98.0500 us/op
WorkloadResult  194: 1 op, 96450.00 ns, 96.4500 us/op
WorkloadResult  195: 1 op, 96850.00 ns, 96.8500 us/op
WorkloadResult  196: 1 op, 96250.00 ns, 96.2500 us/op
WorkloadResult  197: 1 op, 102050.00 ns, 102.0500 us/op
WorkloadResult  198: 1 op, 96150.00 ns, 96.1500 us/op
WorkloadResult  199: 1 op, 96150.00 ns, 96.1500 us/op
WorkloadResult  200: 1 op, 96450.00 ns, 96.4500 us/op
WorkloadResult  201: 1 op, 95950.00 ns, 95.9500 us/op
WorkloadResult  202: 1 op, 97350.00 ns, 97.3500 us/op
WorkloadResult  203: 1 op, 97250.00 ns, 97.2500 us/op
WorkloadResult  204: 1 op, 96350.00 ns, 96.3500 us/op
WorkloadResult  205: 1 op, 96550.00 ns, 96.5500 us/op
WorkloadResult  206: 1 op, 96750.00 ns, 96.7500 us/op
WorkloadResult  207: 1 op, 96050.00 ns, 96.0500 us/op
WorkloadResult  208: 1 op, 96950.00 ns, 96.9500 us/op
WorkloadResult  209: 1 op, 96850.00 ns, 96.8500 us/op
WorkloadResult  210: 1 op, 95750.00 ns, 95.7500 us/op
WorkloadResult  211: 1 op, 99150.00 ns, 99.1500 us/op
WorkloadResult  212: 1 op, 95850.00 ns, 95.8500 us/op
WorkloadResult  213: 1 op, 96550.00 ns, 96.5500 us/op
WorkloadResult  214: 1 op, 96850.00 ns, 96.8500 us/op
WorkloadResult  215: 1 op, 105650.00 ns, 105.6500 us/op
WorkloadResult  216: 1 op, 99250.00 ns, 99.2500 us/op
WorkloadResult  217: 1 op, 98450.00 ns, 98.4500 us/op
WorkloadResult  218: 1 op, 98150.00 ns, 98.1500 us/op
WorkloadResult  219: 1 op, 101950.00 ns, 101.9500 us/op
WorkloadResult  220: 1 op, 98050.00 ns, 98.0500 us/op
WorkloadResult  221: 1 op, 99450.00 ns, 99.4500 us/op
WorkloadResult  222: 1 op, 146050.00 ns, 146.0500 us/op
WorkloadResult  223: 1 op, 178050.00 ns, 178.0500 us/op
WorkloadResult  224: 1 op, 100050.00 ns, 100.0500 us/op
WorkloadResult  225: 1 op, 99750.00 ns, 99.7500 us/op
WorkloadResult  226: 1 op, 97050.00 ns, 97.0500 us/op
WorkloadResult  227: 1 op, 101150.00 ns, 101.1500 us/op
WorkloadResult  228: 1 op, 101250.00 ns, 101.2500 us/op
WorkloadResult  229: 1 op, 98350.00 ns, 98.3500 us/op
WorkloadResult  230: 1 op, 97450.00 ns, 97.4500 us/op
WorkloadResult  231: 1 op, 103950.00 ns, 103.9500 us/op
WorkloadResult  232: 1 op, 97550.00 ns, 97.5500 us/op
WorkloadResult  233: 1 op, 147050.00 ns, 147.0500 us/op
WorkloadResult  234: 1 op, 97950.00 ns, 97.9500 us/op
WorkloadResult  235: 1 op, 100450.00 ns, 100.4500 us/op
WorkloadResult  236: 1 op, 98150.00 ns, 98.1500 us/op
WorkloadResult  237: 1 op, 97450.00 ns, 97.4500 us/op
WorkloadResult  238: 1 op, 97550.00 ns, 97.5500 us/op
WorkloadResult  239: 1 op, 97050.00 ns, 97.0500 us/op
WorkloadResult  240: 1 op, 96750.00 ns, 96.7500 us/op
WorkloadResult  241: 1 op, 97250.00 ns, 97.2500 us/op
WorkloadResult  242: 1 op, 97450.00 ns, 97.4500 us/op
WorkloadResult  243: 1 op, 98050.00 ns, 98.0500 us/op
WorkloadResult  244: 1 op, 104850.00 ns, 104.8500 us/op
WorkloadResult  245: 1 op, 99550.00 ns, 99.5500 us/op
WorkloadResult  246: 1 op, 98550.00 ns, 98.5500 us/op
WorkloadResult  247: 1 op, 100250.00 ns, 100.2500 us/op
WorkloadResult  248: 1 op, 97050.00 ns, 97.0500 us/op
WorkloadResult  249: 1 op, 104450.00 ns, 104.4500 us/op
WorkloadResult  250: 1 op, 98450.00 ns, 98.4500 us/op
WorkloadResult  251: 1 op, 96850.00 ns, 96.8500 us/op
WorkloadResult  252: 1 op, 96550.00 ns, 96.5500 us/op
WorkloadResult  253: 1 op, 196750.00 ns, 196.7500 us/op
WorkloadResult  254: 1 op, 97850.00 ns, 97.8500 us/op
WorkloadResult  255: 1 op, 104250.00 ns, 104.2500 us/op
WorkloadResult  256: 1 op, 109650.00 ns, 109.6500 us/op
WorkloadResult  257: 1 op, 97250.00 ns, 97.2500 us/op
WorkloadResult  258: 1 op, 96750.00 ns, 96.7500 us/op
WorkloadResult  259: 1 op, 96150.00 ns, 96.1500 us/op
WorkloadResult  260: 1 op, 96350.00 ns, 96.3500 us/op
WorkloadResult  261: 1 op, 97250.00 ns, 97.2500 us/op
WorkloadResult  262: 1 op, 97050.00 ns, 97.0500 us/op
WorkloadResult  263: 1 op, 95650.00 ns, 95.6500 us/op
WorkloadResult  264: 1 op, 97250.00 ns, 97.2500 us/op
WorkloadResult  265: 1 op, 98750.00 ns, 98.7500 us/op
WorkloadResult  266: 1 op, 97150.00 ns, 97.1500 us/op
WorkloadResult  267: 1 op, 97050.00 ns, 97.0500 us/op
WorkloadResult  268: 1 op, 96650.00 ns, 96.6500 us/op
WorkloadResult  269: 1 op, 97050.00 ns, 97.0500 us/op
WorkloadResult  270: 1 op, 95950.00 ns, 95.9500 us/op
WorkloadResult  271: 1 op, 96650.00 ns, 96.6500 us/op
WorkloadResult  272: 1 op, 97250.00 ns, 97.2500 us/op
WorkloadResult  273: 1 op, 96250.00 ns, 96.2500 us/op
WorkloadResult  274: 1 op, 99350.00 ns, 99.3500 us/op
WorkloadResult  275: 1 op, 96750.00 ns, 96.7500 us/op
WorkloadResult  276: 1 op, 96850.00 ns, 96.8500 us/op
WorkloadResult  277: 1 op, 97450.00 ns, 97.4500 us/op
WorkloadResult  278: 1 op, 96250.00 ns, 96.2500 us/op
WorkloadResult  279: 1 op, 96050.00 ns, 96.0500 us/op
WorkloadResult  280: 1 op, 97350.00 ns, 97.3500 us/op
WorkloadResult  281: 1 op, 96150.00 ns, 96.1500 us/op
WorkloadResult  282: 1 op, 96350.00 ns, 96.3500 us/op
WorkloadResult  283: 1 op, 98150.00 ns, 98.1500 us/op
WorkloadResult  284: 1 op, 107750.00 ns, 107.7500 us/op
WorkloadResult  285: 1 op, 99350.00 ns, 99.3500 us/op
WorkloadResult  286: 1 op, 100850.00 ns, 100.8500 us/op
WorkloadResult  287: 1 op, 99450.00 ns, 99.4500 us/op
WorkloadResult  288: 1 op, 98450.00 ns, 98.4500 us/op
WorkloadResult  289: 1 op, 99450.00 ns, 99.4500 us/op
WorkloadResult  290: 1 op, 98450.00 ns, 98.4500 us/op
WorkloadResult  291: 1 op, 102750.00 ns, 102.7500 us/op
WorkloadResult  292: 1 op, 167550.00 ns, 167.5500 us/op
WorkloadResult  293: 1 op, 97750.00 ns, 97.7500 us/op
WorkloadResult  294: 1 op, 97950.00 ns, 97.9500 us/op
WorkloadResult  295: 1 op, 99350.00 ns, 99.3500 us/op
WorkloadResult  296: 1 op, 97850.00 ns, 97.8500 us/op
WorkloadResult  297: 1 op, 97350.00 ns, 97.3500 us/op
WorkloadResult  298: 1 op, 96750.00 ns, 96.7500 us/op
WorkloadResult  299: 1 op, 96350.00 ns, 96.3500 us/op
WorkloadResult  300: 1 op, 97250.00 ns, 97.2500 us/op
// GC:  0 0 0 51720 1
// Threading:  3 0 1

// AfterAll
// Benchmark Process 110344 has exited with code 0.

Mean = 103.114 us, StdErr = 0.561 us (0.54%), N = 600, StdDev = 13.742 us
Min = 95.200 us, Q1 = 98.188 us, Median = 99.800 us, Q3 = 102.013 us, Max = 203.400 us
IQR = 3.825 us, LowerFence = 92.450 us, UpperFence = 107.750 us
ConfidenceInterval = [101.259 us; 104.969 us] (CI 99.9%), Margin = 1.855 us (1.80% of Mean)
Skewness = 4.56, Kurtosis = 24.92, MValue = 2

// ** Remained 2 (66.7%) benchmark(s) to run. Estimated finish 2026-09-07 17:17 (0h 0m from now) **
Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: PartitionedShutdownBenchmarks.DrainFullQueue: B_Candidate(OutlierMode=DontRemove, Affinity=00000000000000000100, EnvironmentVariables=DOTNET_TieredCompilation=0, Arguments=/p:ProductDirectory=C:/git/Dekaf-perf-improvements-20260907/pr-3109/candidate,/p:UseSharedCompilation=false, InvocationCount=1, IterationCount=300, LaunchCount=2, UnrollFactor=1, WarmupCount=30)
// *** Execute ***
// Launch: 1 / 2
// Execute: dotnet Dekaf.Benchmarks-B_Candidate-2.dll --anonymousPipes 1544 1540 --benchmarkName Dekaf.Benchmarks.PartitionedShutdownBenchmarks.DrainFullQueue --job B_Candidate --benchmarkId 0 in C:\git\Dekaf-perf-improvements-20260907\pr-3109\comparison-long\bin\Release\net10.0\Dekaf.Benchmarks-B_Candidate-2\bin\Release\net10.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.15.8
// Runtime=.NET 10.0.11 (10.0.11, 10.0.1126.37416), X64 RyuJIT x86-64-v3
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2+BMI1+BMI2+F16C+FMA+LZCNT+MOVBE,AVX,SSE3+SSSE3+SSE4.1+SSE4.2+POPCNT,X86Base+SSE+SSE2,AES+PCLMUL,AvxVnni,SERIALIZE VectorSize=256
// Job: B_Candidate(OutlierMode=DontRemove, Affinity=100, InvocationCount=1, IterationCount=300, LaunchCount=2, UnrollFactor=1, WarmupCount=30)

OverheadJitting  1: 1 op, 121000.00 ns, 121.0000 us/op
WorkloadJitting  1: 1 op, 40570700.00 ns, 40.5707 ms/op

OverheadWarmup   1: 1 op, 300.00 ns, 300.0000 ns/op
OverheadWarmup   2: 1 op, 100.00 ns, 100.0000 ns/op
OverheadWarmup   3: 1 op, 100.00 ns, 100.0000 ns/op
OverheadWarmup   4: 1 op, 100.00 ns, 100.0000 ns/op
OverheadWarmup   5: 1 op, 100.00 ns, 100.0000 ns/op
OverheadWarmup   6: 1 op, 100.00 ns, 100.0000 ns/op

OverheadActual   1: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual   2: 1 op, 400.00 ns, 400.0000 ns/op
OverheadActual   3: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   4: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual   5: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual   6: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual   7: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual   8: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual   9: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  10: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  11: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  12: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  13: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  14: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  15: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  16: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  17: 1 op, 100.00 ns, 100.0000 ns/op
